13974	23	23	23	23	23	23	23	23	
14059	36	36	36	36	36	36	36	36	
14205	19	19	19	19	19	19	19	19	
14227	27	27	27	27	27	27	27	27	
14264	7	7	7	7	7	7	7	7	
14346	17	17	17	17	17	17	17	17	
13851	20	20	20	20	20	20	20	20	
13990	15	15	15	15	15	15	15	15	
14356	19	19	19	19	19	19	19	19	
13863	6	6	6	6	6	6	6	6	
14080	7	7	7	7	7	7	7	7	
14298	11	11	11	11	11	11	11	11	
14324	19	19	19	19	19	19	19	19	
13881	1	1	1	1	1	1	1	1	
13997	7	7	7	7	7	7	7	7	
13889	25	25	25	25	25	25	25	25	
14197	28	28	28	28	28	28	28	28	
14310	7	7	7	7	7	7	7	7	
14046	6	6	6	6	6	6	6	6	
13982	1	1	1	1	1	1	1	1	
14015	8	8	8	8	8	8	8	8	
14118	7	7	7	7	7	7	7	7	
14127	23	23	23	23	23	23	23	23	
14145	6	6	6	6	6	6	6	6	
14275	1	1	1	1	1	1	1	1	
14287	19	19	19	19	19	19	19	19	
13937	15	15	15	15	15	15	15	15	
13960	8	8	8	8	8	8	8	8	
13929	7	7	7	7	7	7	7	7	
14097	1	1	1	1	1	1	1	1	
14168	22	22	22	22	22	22	22	22	
14248	1	1	1	1	1	1	1	1	
13945	1	1	1	1	1	1	1	1	
13900	1	1	1	1	1	1	1	1	
14241	31	31	31	31	31	31	31	31	
14188	7	7	7	7	7	7	7	7	
14335	1	1	1	1	1	1	1	1	
13873	7	7	7	7	7	7	7	7	
14023	16	16	16	16	16	16	16	16	
14156	17	17	17	17	17	17	17	17	
13843	20	20	20	20	20	20	20	20	
14090	17	17	17	17	17	17	17	17	
14033	7	7	7	7	7	7	7	7	
14071	20	20	20	20	20	20	20	20	
14104	15	15	15	15	15	15	15	15	
14137	1	1	1	1	1	1	1	1	
14175	7	7	7	7	7	7	7	7	
14215	1	1	1	1	1	1	1	1	
13920	21	21	21	21	21	21	21	21	
14007	7	7	7	7	7	7	7	7	
