14197	9	9	9	9	9	9	9	9	
14205	7	7	7	7	7	7	7	7	
14324	7	7	7	7	7	7	7	7	
14007	3	3	3	3	3	3	3	3	
13929	3	3	3	3	3	3	3	3	
14097	1	1	1	1	1	1	1	1	
14168	7	7	7	7	7	7	7	7	
14298	6	6	6	6	6	6	6	6	
13990	5	5	5	5	5	5	5	5	
14071	7	7	7	7	7	7	7	7	
14090	5	5	5	5	5	5	5	5	
14248	1	1	1	1	1	1	1	1	
13937	5	5	5	5	5	5	5	5	
13945	1	1	1	1	1	1	1	1	
14080	3	3	3	3	3	3	3	3	
13982	1	1	1	1	1	1	1	1	
14015	3	3	3	3	3	3	3	3	
13889	8	8	8	8	8	8	8	8	
14118	3	3	3	3	3	3	3	3	
14287	7	7	7	7	7	7	7	7	
13873	3	3	3	3	3	3	3	3	
13900	1	1	1	1	1	1	1	1	
13960	3	3	3	3	3	3	3	3	
14104	5	5	5	5	5	5	5	5	
14156	5	5	5	5	5	5	5	5	
14145	3	3	3	3	3	3	3	3	
14175	3	3	3	3	3	3	3	3	
14215	1	1	1	1	1	1	1	1	
13843	7	7	7	7	7	7	7	7	
14023	7	7	7	7	7	7	7	7	
14127	7	7	7	7	7	7	7	7	
14264	3	3	3	3	3	3	3	3	
14335	1	1	1	1	1	1	1	1	
13863	3	3	3	3	3	3	3	3	
14241	7	7	7	7	7	7	7	7	
14346	5	5	5	5	5	5	5	5	
14356	7	7	7	7	7	7	7	7	
13851	7	7	7	7	7	7	7	7	
13920	5	5	5	5	5	5	5	5	
13997	3	3	3	3	3	3	3	3	
14033	3	3	3	3	3	3	3	3	
14059	9	9	9	9	9	9	9	9	
14275	1	1	1	1	1	1	1	1	
14310	3	3	3	3	3	3	3	3	
13881	1	1	1	1	1	1	1	1	
14046	3	3	3	3	3	3	3	3	
13974	7	7	7	7	7	7	7	7	
14137	1	1	1	1	1	1	1	1	
14188	3	3	3	3	3	3	3	3	
14227	9	9	9	9	9	9	9	9	
